iter	MultiClass
0	1.436144895
1	1.310585526
2	1.220045673
3	1.149199419
4	1.090759237
5	1.044205059
6	1.004587673
7	0.970319114
8	0.9395336116
9	0.9156565995
10	0.8933948718
11	0.8739926316
12	0.8559196754
13	0.8383236377
14	0.8230318261
15	0.810571659
16	0.7999188026
17	0.7897744208
18	0.7786488693
19	0.7682638094
20	0.7626945897
21	0.7554371024
22	0.7484530271
23	0.742975659
24	0.7363102075
25	0.7309354306
26	0.7252382303
27	0.7219461578
28	0.7171900916
29	0.7138065959
30	0.7100916882
31	0.7070458992
32	0.7043334455
33	0.7006082338
34	0.6982268806
35	0.6951734479
36	0.6925850034
37	0.6912190347
38	0.6885048517
39	0.6868489778
40	0.6849388307
41	0.6826353519
42	0.681306584
43	0.6803750118
44	0.6789838989
45	0.6773896176
46	0.6767723275
47	0.6761971375
48	0.6755604147
49	0.6740684059
50	0.6726622331
51	0.6719244395
52	0.6705934172
53	0.6703277313
54	0.6693517482
55	0.6681022006
56	0.6665496676
57	0.6648729385
58	0.6633755695
59	0.6627235725
60	0.6624268997
61	0.6617268561
62	0.6596018362
63	0.6594419901
64	0.6585701441
65	0.6576362069
66	0.6572646093
67	0.6571627626
68	0.6570603625
69	0.6563270556
70	0.6560540092
71	0.6549091949
72	0.654395701
73	0.653003917
74	0.651548856
75	0.6510111225
76	0.6496926512
77	0.6495324873
78	0.6486606238
79	0.6486360527
80	0.6485571984
81	0.6477277807
82	0.646407076
83	0.6460289157
84	0.6449938527
85	0.6446614878
86	0.6444178701
87	0.6440565313
88	0.6438275727
89	0.6432091174
90	0.6425387229
91	0.6418708334
92	0.6417393285
93	0.6416265202
94	0.6410256107
95	0.6407522101
96	0.6403509194
97	0.6402186204
98	0.6401249425
99	0.639466293
100	0.6393218276
101	0.6391743806
102	0.6389131194
103	0.6380151849
104	0.6378221665
105	0.6366511193
106	0.6356537637
107	0.6354897935
108	0.6346550486
109	0.6344660854
110	0.6339255287
111	0.6335953193
112	0.6329116273
113	0.6324486462
114	0.6318963176
115	0.6318714754
116	0.6313585219
117	0.6309916367
118	0.6304046789
119	0.6297449138
120	0.6295684874
121	0.6292658141
122	0.6286828974
123	0.6283737293
124	0.6282013187
125	0.6277277973
126	0.6268193531
127	0.6265189774
128	0.6260075968
129	0.6255504996
130	0.6254274489
131	0.6252819347
132	0.6248070576
133	0.6247589489
134	0.6242376712
135	0.6237218243
136	0.6232828384
137	0.6222729885
138	0.6214862281
139	0.6210298392
140	0.6205281664
141	0.6202702685
142	0.6192370752
143	0.6187288189
144	0.6184404185
145	0.6176629
146	0.6174732239
147	0.6171798806
148	0.6169938868
149	0.6166209703
150	0.6164698196
151	0.6163522732
152	0.6159203751
153	0.6157239131
154	0.6156168592
155	0.6155187316
156	0.6154559673
157	0.6153935473
158	0.6149798838
159	0.6148172162
160	0.6141709006
161	0.6139719176
162	0.6136251331
163	0.6135020179
164	0.6132071945
165	0.6130871779
166	0.6129944987
167	0.6126741123
168	0.6125518316
169	0.6124370564
170	0.6122337382
171	0.6120874187
172	0.6116283146
173	0.6115485466
174	0.6111506332
175	0.6106461656
176	0.6102517171
177	0.610210031
178	0.6099392387
179	0.6094087084
180	0.6091124509
181	0.6085056586
182	0.6083512739
183	0.6082557362
184	0.6079950889
185	0.6079232615
186	0.6074080124
187	0.6070904578
188	0.6069196962
189	0.6068846143
190	0.6064903244
191	0.606396511
192	0.6061893526
193	0.6061564578
194	0.6058001193
195	0.6055293561
196	0.6054471372
197	0.6051937865
198	0.6049688396
199	0.604803384
200	0.6046602788
201	0.6042902922
202	0.6040242515
203	0.6039553035
204	0.603763058
205	0.6036047266
