feature_id,feature_name
1,prepress_and_post_printing_processing
40,products
54,printing_method
77,fuel
79,shop
82,last_minute_deals_only
104,tour_type
110,audio_guide
111,cargo_transportation
113,manufacturing
114,installation
115,repairs
116,production
117,sale
133,music_genre
135,electroniccigarette
137,variety_food
140,room_disabled
175,arts
246,karaoke
249,street_theatre
253,performance
256,vip_zone
270,money_transfers
275,loans_private_individuals
282,sober_driver
288,accepted_credit_cards
305,refrigerator
308,minibar
312,room_number
328,speciality
337,type_of_rooms
344,building_repair
349,hospital_profile
354,type_parking
372,services_corporate_clients
379,currency_exchange
392,debit_cards
402,improving_driver_qualifications
405,female_instructor
409,medical_board
425,training_machines
427,target_audience
433,business_lending
444,has_restaurant
447,air_conditioning
536,country
540,online_sales
542,stadium_type
545,car_valeting
594,pro_shop
598,body_repair
601,car_park
602,hair_removal
636,imax
726,cosmetology_services
790,pets
795,hotel_type
803,massage_services
873,leasing_registration
883,3d
956,railway_tickets
962,services_specialists
980,trade_in
983,star
989,form_of_training
995,staging_of_dancing_routines
1018,food_delivery
1054,car_wash
1059,additional_services
1070,official_dealer
1075,pool
1091,atm
1104,loan_processing
1113,registration_inspection
1124,car_brand
1131,online_recording
1246,type_of_museum
1257,test_drive
1261,flights
1271,cash_desk
1413,sauna
1415,nursery
1416,type_cuisine
1509,special_menu
1524,type_public_catering
1572,type_waterpark
1573,childrens_town
1575,water_purification_method
1582,water_activities
1587,wave_pool
1589,pool_type
1592,number_of_swimming_lanes
1600,group_classes
1627,gym
1629,sport_game
1651,martial_arts
1702,covering
1703,dance
1753,hairdressing_services
1783,types_of_tanning_beds
1796,figure_correction
1819,nail_procedures
1840,for_children
1877,vehicle_fleet
1879,training_category
1888,holding_of_bowling_tournaments
1889,conducting_pool_tournaments
1891,storage_of_client_pool_equipment
1892,storage_of_client_bowling_equipment
1893,billiard_school
1894,bowling_for_children
1897,bowling_school
1900,wedding_dances
1903,artists_for_events
1935,services_veterinary_clinic
1937,state
10427,price_delivery
10428,hall_capacity
10429,price_hour
10430,time_order
10434,tickets
10437,washing_zones
10440,russian_billiard
10441,track_length
10442,year_of_foundation
10447,kalyan
10448,price_evening
10449,price_per_hour_sauna2
10450,price_taxi
10451,price_per_month3
10459,women_haircut
10462,average_bill2
10463,price_8
10470,hall
10480,cartridge
10481,water_stuff
10487,price_1
10502,pool_backflow
10506,sports_medicine
10512,outfit
10513,baggage_room
10514,skate_rental
10515,skate_sharpening
10518,kids_club
10556,weekend_group
10557,language
10560,door_type
10563,spa
10564,type_food
10565,visa_support
10580,bridal_assortment
10588,laundry
10596,minimum_order
10597,natural_reservoir
10600,admission_by_appointment
10656,wheel_alignment
10668,car_rental
10669,animal_transportation
10676,kindergarden_features
10718,clothes_and_shoe_repairs
10722,beauty_salon
10744,dry_cleaners_
10746,shop_types
10760,regions_of_the_world
